№	Наименование ККН	ОКПД2	Детализация	Единица измерения ККН	Показатель (характеристика) товара	Требования к значениям показателей				Единица измерения характеристики	Категория	Код КТРУ	Код ККН	Товарная часть	Дата актуализации	Российский товар
					Материал полотна			"Винил; Ткань"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Тип конструкции			"Люверсный; Натяжной; Подпружиненный; Рамный"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Тип проекции				Фронтальная	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Тип покрытия полотна				Матовое	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
2131	Экран для проектора тип 6	26.70.17.150	006	ШТ	Тип размещения				Настенно-потолочный	-	Экраны для проектора	26.70.17.150-00000002	26.70.17.150-006	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Наличие электропривода				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Высота			"? 150 и < 180; ? 180 и < 210; ? 210 и < 240; ? 240 и < 270"		СМ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Длина				? 240 и < 270	СМ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Материал полотна			"Винил; Ткань"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Тип конструкции			"Люверсный; Натяжной; Подпружиненный; Рамный"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Тип проекции				Фронтальная	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Тип покрытия полотна				Матовое	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
2132	Экран для проектора тип 7	26.70.17.150	007	ШТ	Тип размещения				Настенно-потолочный	-	Экраны для проектора	26.70.17.150-00000002	26.70.17.150-007	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Наличие электропривода				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Высота			"? 150 и < 180; ? 180 и < 210"		СМ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Длина				? 270 и < 300	СМ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Материал полотна			"Винил; Ткань"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Тип конструкции			"Люверсный; Натяжной; Подпружиненный; Рамный"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Тип проекции				Фронтальная	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Тип покрытия полотна				Матовое	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
2133	Экран для проектора тип 8	26.70.17.150	008	ШТ	Тип размещения				Настенно-потолочный	-	Экраны для проектора	26.70.17.150-00000002	26.70.17.150-008	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Наличие электропривода				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Высота			"? 180 и < 210; ? 210 и < 240; ? 240 и < 270; ? 270 и < 300; ? 300"		СМ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Длина				? 300 и < 350	СМ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Материал полотна			"Винил; Ткань"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Тип конструкции			"Люверсный; Натяжной; Подпружиненный; Рамный"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Тип проекции				Фронтальная	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Тип покрытия полотна				Матовое	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
2134	Экран для проектора тип 9	26.70.17.150	009	ШТ	Тип размещения				Настенно-потолочный	-	Экраны для проектора	26.70.17.150-00000002	26.70.17.150-009	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Наличие электропривода				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Высота			"? 270 и < 300; ? 300"		СМ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Длина			"? 350 и < 400; ? 400"		СМ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Материал полотна			"Винил; Ткань"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Тип конструкции			"Люверсный; Натяжной; Подпружиненный; Рамный"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Тип проекции				Фронтальная	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Тип покрытия полотна				Матовое	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
2135	Штатив для фотоаппарата тип 1	26.70.19.000	001	ШТ	Тип исполнения				Напольный	-	Штативы для фото- и видеоаппаратуры	26.70.19.000-00000004	26.70.19.000-001	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.08.2020	
					Конструкция штатива				Трипод	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.08.2020	
					Тип головки штатива			"3D; Панорамная"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.08.2020	
2136	Штатив для фотоаппарата тип 2	26.70.19.000	002	ШТ	Тип исполнения				Настольный	-	Штативы для фото- и видеоаппаратуры	26.70.19.000-00000004	26.70.19.000-002	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.08.2020	
					Конструкция штатива				Трипод	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.08.2020	
					Тип головки штатива			"Шаровая; 3D"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.08.2020	
2137	Визуальный локатор дефектов тип 1	26.70.23.190	002	ШТ	Поддерживаемые оптические интерфейсы				FC, SC, ST	-	Визуальные локаторы дефектов		26.70.23.190-002	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Тип проверяемого оптического волокна				Одномодовое, Многомодовое	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Выходная мощность	5				"МЕГАВТ; ТЫС КВТ"				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Проверяемое расстояние		5			"КМ; ТЫС М"				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Длина волны, нанометр	650				-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Рабочая температура				от -20 до +60	ГРАД ЦЕЛЬС				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Соответствие нормативно-технической документации				ТУ производителя	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
2138	Визуальный локатор дефектов тип 2	26.70.23.190	003	ШТ	Поддерживаемые оптические интерфейсы				FC, SC, ST	-	Визуальные локаторы дефектов		26.70.23.190-003	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Тип проверяемого оптического волокна				Одномодовое, Многомодовое	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Выходная мощность	10				"МЕГАВТ; ТЫС КВТ"				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Проверяемое расстояние		10			"КМ; ТЫС М"				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Длина волны, нанометр	650				-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Рабочая температура				от -20 до +60	ГРАД ЦЕЛЬС				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Соответствие нормативно-технической документации				ТУ производителя	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
2139	Визуальный локатор дефектов тип 3	26.70.23.190	004	ШТ	Поддерживаемые оптические интерфейсы				FC, SC, ST	-	Визуальные локаторы дефектов		26.70.23.190-004	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Тип проверяемого оптического волокна				Одномодовое, Многомодовое	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Выходная мощность	20				"МЕГАВТ; ТЫС КВТ"				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Проверяемое расстояние		20			"КМ; ТЫС М"				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Длина волны, нанометр	650				-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Рабочая температура				от -20 до +60	ГРАД ЦЕЛЬС				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Соответствие нормативно-технической документации				ТУ производителя	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
2140	Визуальный локатор дефектов тип 4	26.70.23.190	005	ШТ	Поддерживаемые оптические интерфейсы				FC, SC, ST	-	Визуальные локаторы дефектов		26.70.23.190-005	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Тип проверяемого оптического волокна				Одномодовое, Многомодовое	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Выходная мощность	30				"МЕГАВТ; ТЫС КВТ"				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Проверяемое расстояние		30			"КМ; ТЫС М"				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Длина волны, нанометр	650				-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Рабочая температура				от -20 до +60	ГРАД ЦЕЛЬС				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
					Соответствие нормативно-технической документации				ТУ производителя	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	29.12.2017	
2141	Диск оптический тип 1	26.80.12.000	003	ШТ	Тип носителя				DVD-R	-	Диски оптические	26.80.12.000-00000005	26.80.12.000-003	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2023	
					Емкость				4,7	ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2023	
					Количество сторон				1	ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2023	
					Скорость записи			"8х; 16х"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2023	
2142	Диск оптический тип 2	26.80.12.000	001	ШТ	Тип носителя				CD-R	-	Диски оптические	26.80.12.000-00000006	26.80.12.000-001	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2023	
					Емкость				0,68	ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2023	
					Количество сторон				1	ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2023	
					Скорость записи				52х	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2023	
2143	Диск оптический тип 3	26.80.12.000	004	ШТ	Тип носителя				DVD+RW	-	Диски оптические	26.80.12.000-00000008	26.80.12.000-004	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2023	
					Емкость				4,7	ГБАЙТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2023	
					Количество сторон				1	ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2023	
					Скорость записи				4х	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.10.2023	
2144	Зарядное устройство для аккумуляторных батареек тип 1	27.11.50.120	001	ШТ	Тип аккумуляторной батарейки			"Ni-Cd; Ni-Mh"		-	Зарядные устройства для элементов питания	27.11.50.120-00000001	27.11.50.120-001	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Типоразмер			"AA; AAA; Крона (R22)"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Количество слотов			"4; 6"		ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Наличие индикатора завершения зарядки				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
					Максимальный ток заряда, мА			"? 250 и < 500; ? 500 и < 1000"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	30.09.2020	
2145	Зарядное устройство для аккумуляторных батареек тип 2	27.11.50.120	002	ШТ	Тип аккумуляторной батарейки			"Ni-Cd; Ni-Mh"		-	Зарядные устройства для элементов питания	27.11.50.120-00000001	27.11.50.120-002	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.03.2021	
					Типоразмер			"AA; AAA; Крона (R22)"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.03.2021	
					Количество слотов				2	ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.03.2021	
					Наличие индикатора завершения зарядки				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.03.2021	
					Максимальный ток заряда, мА			"< 250; ? 250 и < 500; ? 500 и < 1000"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.03.2021	
2146	Батарея аккумуляторная свинцово-кислотная стационарная тип 1	27.20.22.000	002	ШТ	Тип				Закрытая	-	Батареи аккумуляторные свинцово-кислотные	27.20.22.000-00000001	27.20.22.000-002	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Конструктив батареи				Внутренний сменный модуль	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Напряжение			"6; 12"		В				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Емкость			"> 4.5 и ? 5; > 5 и ? 6; > 6 и ? 7; > 7 и ? 7.2"		А.Ч				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Клеммы			"F1; F2; FASTON"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Количество батарейных модулей				1	ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Вес, КГ				? 0,8 и ? 2,5	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Возможность использования в ИБП				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Совместимость				В соответствии с требованием заказчика	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Соответствие нормативно-технической документации			"ГОСТ Р МЭК 61056-1-2012, ГОСТ Р МЭК 60896-21-2013; ТУ производителя"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
2147	Батарея аккумуляторная свинцово-кислотная стационарная тип 2	27.20.22.000	003	ШТ	Тип				Закрытая	-	Батареи аккумуляторные свинцово-кислотные	27.20.22.000-00000001	27.20.22.000-003	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Конструктив батареи				Внутренний сменный модуль	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Напряжение				12	В				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Емкость			"> 6 и ? 7; > 7 и ? 7.2; > 7.2 и ? 9; > 9 и ? 12"		А.Ч				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Клеммы			"F1; F2; FASTON"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Количество батарейных модулей				1	ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Вес, КГ				? 2,6 и ? 4,2	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Возможность использования в ИБП				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Совместимость				В соответствии с требованием заказчика	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Соответствие нормативно-технической документации			"ГОСТ Р МЭК 61056-1-2012, ГОСТ Р МЭК 60896-21-2013; ТУ производителя"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
2148	Батарея аккумуляторная свинцово-кислотная стационарная тип 3	27.20.22.000	004	ШТ	Тип				Закрытая	-	Батареи аккумуляторные свинцово-кислотные	27.20.22.000-00000001	27.20.22.000-004	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Конструктив батареи				Внутренний сменный модуль	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Напряжение				12	В				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Емкость			"> 4.5 и ? 5; > 5 и ? 6; > 6 и ? 7; > 7 и ? 7.2; > 7.2 и ? 9; > 9 и ? 12"		А.Ч				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Количество батарейных модулей				? 2 и ? 4	ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Клеммы			"F1; F2; FASTON"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Возможность использования в ИБП				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Совместимость				В соответствии с требованием заказчика	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Соответствие нормативно-технической документации			"ГОСТ Р МЭК 61056-1-2012, ГОСТ Р МЭК 60896-21-2013; ТУ производителя"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
2149	Батарея аккумуляторная свинцово-кислотная стационарная тип 4	27.20.22.000	005	ШТ	Тип				Закрытая	-	Батареи аккумуляторные свинцово-кислотные	27.20.22.000-00000001	27.20.22.000-005	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Конструктив батареи				Внутренний сменный модуль	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Напряжение				12	В				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Емкость			"> 4.5 и ? 5; > 5 и ? 6; > 6 и ? 7; > 7 и ? 7.2; > 7.2 и ? 9; > 9 и ? 12"		А.Ч				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Количество батарейных модулей				? 5 и ? 10	ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Клеммы			"F1; F2; FASTON"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Возможность использования в ИБП				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Совместимость				В соответствии с требованием заказчика	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Соответствие нормативно-технической документации			"ГОСТ Р МЭК 61056-1-2012, ГОСТ Р МЭК 60896-21-2013; ТУ производителя"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
2150	Батарея аккумуляторная свинцово-кислотная стационарная тип 5	27.20.22.000	006	ШТ	Тип				Закрытая	-	Батареи аккумуляторные свинцово-кислотные	27.20.22.000-00000001	27.20.22.000-006	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Конструктив батареи				Внутренний сменный модуль	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Напряжение				12	В				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Емкость			"> 4.5 и ? 5; > 5 и ? 6; > 6 и ? 7; > 7 и ? 7.2; > 7.2 и ? 9; > 9 и ? 12"		А.Ч				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Количество батарейных модулей				? 4 и ? 8	ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Клеммы			"F1; F2; FASTON"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Возможность использования в ИБП				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Совместимость				В соответствии с требованием заказчика	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Соответствие нормативно-технической документации			"ГОСТ Р МЭК 61056-1-2012, ГОСТ Р МЭК 60896-21-2013; ТУ производителя"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
2151	Батарея аккумуляторная свинцово-кислотная стационарная тип 6	27.20.22.000	007	ШТ	Тип				Закрытая	-	Батареи аккумуляторные свинцово-кислотные	27.20.22.000-00000001	27.20.22.000-007	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Конструктив батареи				Внешняя	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Напряжение				12	В				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Емкость			"> 4.5 и ? 5; > 5 и ? 6; > 6 и ? 7; > 7 и ? 7.2; > 7.2 и ? 9; > 9 и ? 12"		А.Ч				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Количество батарейных модулей				? 11 и ? 16	ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Клеммы			"F1; F2; FASTON"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Возможность использования в ИБП				Да	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Совместимость				В соответствии с требованием заказчика	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Соответствие нормативно-технической документации			"ГОСТ Р МЭК 61056-1-2012, ГОСТ Р МЭК 60896-21-2013; ТУ производителя"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
2152	Внешний аккумулятор тип 1	27.20.23.190	007	ШТ	Тип аккумулятора			"Литий-ионный; Литий-полимерный"		-	Внешние аккумуляторы портативные		27.20.23.190-007	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Входные разъемы				USB	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Емкость, миллиампер-час	8000	20000			-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Максимальное напряжение	5				В				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Максимальный ток	2				А				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Материал корпуса			"Пластик; Металл; Комбинированный"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Количество USB разъемов	2				ШТ				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Индикатор заряда				Наличие	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Соответствие нормативно-технической документации			"ГОСТ Р МЭК 61960-3-2019; ТУ производителя"		-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
2153	Внешний аккумулятор тип 2	27.20.23.190	008	ШТ	Тип аккумулятора			"Литий-ионный; Литий-полимерный"		-	Внешние аккумуляторы портативные		27.20.23.190-008	03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
					Входные разъемы				USB	-				03. Оборудование компьютерное и электронное, включая расходные материалы и запасные части	31.01.2024	
